거래일자,거래시간,지역,연료원,전력거래량(MWh)
2024-01-13,22,인천시,태양광,0.015772
2024-01-13,23,인천시,태양광,0.0036
2024-01-13,24,인천시,태양광,0.0
2024-01-14,1,인천시,태양광,8e-05
2024-01-14,2,인천시,태양광,0.0
2024-01-14,3,인천시,태양광,0.0
2024-01-14,4,인천시,태양광,0.0
2024-01-14,5,인천시,태양광,0.0
2024-01-14,6,인천시,태양광,0.0
2024-01-14,7,인천시,태양광,0.0
2024-01-14,8,인천시,태양광,0.015163
2024-01-14,9,인천시,태양광,1.256112
2024-01-14,10,인천시,태양광,0.690787
2024-01-14,11,인천시,태양광,1.96678
2024-01-14,12,인천시,태양광,0.635986
2024-01-14,13,인천시,태양광,0.392512
2024-01-14,14,인천시,태양광,1.239131
2024-01-14,15,인천시,태양광,2.383202
2024-01-14,16,인천시,태양광,6.961299
2024-01-14,17,인천시,태양광,2.581813
2024-01-14,18,인천시,태양광,0.375684
2024-01-14,19,인천시,태양광,0.056096
2024-01-14,20,인천시,태양광,0.0
2024-01-14,21,인천시,태양광,0.0
2024-01-14,22,인천시,태양광,8e-05
2024-01-14,23,인천시,태양광,0.0
2024-01-14,24,인천시,태양광,0.0
2024-01-15,1,인천시,태양광,0.0
2024-01-15,2,인천시,태양광,0.0
2024-01-15,3,인천시,태양광,0.0
2024-01-15,4,인천시,태양광,0.0
2024-01-15,5,인천시,태양광,0.0
2024-01-15,6,인천시,태양광,0.0
2024-01-15,7,인천시,태양광,0.0
2024-01-15,8,인천시,태양광,0.008045
2024-01-15,9,인천시,태양광,2.634869
2024-01-15,10,인천시,태양광,12.561729
2024-01-15,11,인천시,태양광,21.86847
2024-01-15,12,인천시,태양광,29.397369
2024-01-15,13,인천시,태양광,32.819851
2024-01-15,14,인천시,태양광,32.677743
2024-01-15,15,인천시,태양광,29.751962
2024-01-15,16,인천시,태양광,22.133922
2024-01-15,17,인천시,태양광,13.406202
2024-01-15,18,인천시,태양광,7.422202
2024-01-15,19,인천시,태양광,3.578223
2024-01-15,20,인천시,태양광,1.714478
2024-01-15,21,인천시,태양광,0.883918
2024-01-15,22,인천시,태양광,0.015212
2024-01-15,23,인천시,태양광,0.0024
